unstable,ws_mean,ws_max,CF_L,unc_L,num_(co)sp
1,1.518863438,2.045969948,1.097553311,0.121112024,196
2,2.46524102,2.866174479,1.124164735,0.085033922,196
3,3.239806825,3.591337635,1.138015862,0.078442654,196
4,3.980939513,4.40277163,1.169470383,5.148814846,196
5,5.325172897,7.848290057,1.215696228,14.94245808,196
,,,,,
stable,ws_mean,ws_max,CF_L,unc_L,num_(co)sp
1,2.017572065,2.639279077,1.184035033,0.149677557,150
2,2.973699849,3.257450934,1.22926979,0.160983029,150
3,3.564943928,3.841009687,1.254637415,0.257059929,150
4,4.218569602,4.626573916,1.253443254,0.402904828,150
5,5.356983029,7.597736711,1.260714914,0.561307827,150
