unstable,ws_mean,ws_max,CF_L,unc_L,num_(co)sp
1,1.4325646936661416,1.9684032333665804,1.0817614187789346,0.10010513312113581,222
2,2.3624856060170654,2.7767539107910184,1.1068255432677603,0.082349788,222
3,3.1409964783054933,3.5124496064088513,1.1216500922425845,0.5367884846602833,222
4,3.8982842352987555,4.364638741155621,1.1462310631108916,3.1477620735649663,222
5,5.283274114613982,7.848290057,1.191959215495248,40.573150297070335,222
,,,,,
stable,ws_mean,ws_max,CF_L,unc_L,num_(co)sp
1,2.0508398547485847,2.702713764467173,1.1589029122491494,0.14123149854911754,183
2,3.0356286860126183,3.346790164677116,1.2073842760679245,0.1696778731601328,183
3,3.667723013080398,4.007187672320732,1.2256149795242344,0.2394937281807901,183
4,4.3628267778447665,4.773517107506594,1.2209542156751396,0.4457386198449878,183
5,5.671893306423639,8.006110034803388,1.2241649936661316,0.5408434185974221,183
