"* if an half-hour is missing or if nan/empty value, then the median in a window of 10*x samples around the running half-hour will be computed, with x increasing until valid values are found. So be careful with gaps. ",,,
TIMESTAMP_END,Atmospheric pressure (hPa),Air temperature (deg C),Air relative humidity (%)
01/01/2022 00:30,963,10.2,89.3
01/01/2022 01:00,963,10.1,90.3
01/01/2022 01:30,963,10,91
01/01/2022 02:00,963,9.9,91.9
01/01/2022 02:30,963,9.8,91.8
01/01/2022 03:00,963,9.6,92.7
01/01/2022 03:30,963,9.5,92.8
01/01/2022 04:00,963,9.5,92.3
01/01/2022 04:30,963,9.4,90.5
01/01/2022 05:00,963,9.4,90.1
01/01/2022 05:30,963,9.1,93.4
01/01/2022 06:00,963,8.9,93.9
01/01/2022 06:30,963,8.8,94.8
01/01/2022 07:00,963,8.7,93.9
01/01/2022 07:30,963,8.5,94.8
01/01/2022 08:00,963,8.4,95.7
01/01/2022 08:30,964,8.3,96.7
01/01/2022 09:00,964,8.3,97.1
01/01/2022 09:30,964,8.1,97.9
01/01/2022 10:00,964,8.2,98.2
01/01/2022 10:30,964,8.4,98
01/01/2022 11:00,964,8.7,96.7
01/01/2022 11:30,964,8.9,95.6
01/01/2022 12:00,964,9.1,94.7
01/01/2022 12:30,963,9.5,92.7
01/01/2022 13:00,963,9.9,90.8
01/01/2022 13:30,962,10,91.3
01/01/2022 14:00,962,10.2,91.1
01/01/2022 14:30,962,10,92
01/01/2022 15:00,962,9.7,93.1
01/01/2022 15:30,962,9.7,94.3
01/01/2022 16:00,962,9.7,94.8
01/01/2022 16:30,962,9.6,95.1
01/01/2022 17:00,962,9.3,95.4
01/01/2022 17:30,962,9.2,96
01/01/2022 18:00,962,9,96.6
01/01/2022 18:30,961,9,97.1
01/01/2022 19:00,961,8.8,97.6
01/01/2022 19:30,961,8.6,98.1
01/01/2022 20:00,961,8.5,98.4
01/01/2022 20:30,961,8.3,98.5
01/01/2022 21:00,961,8.1,98.1
01/01/2022 21:30,961,8,97.7
01/01/2022 22:00,961,7.9,97.3
01/01/2022 22:30,961,8.1,95.4
01/01/2022 23:00,960,8,96.1
01/01/2022 23:30,960,8,96.3
02/01/2022 00:00,960,8.1,94.6
02/01/2022 00:30,960,8.1,93.5
02/01/2022 01:00,959,8.1,92.1
02/01/2022 01:30,959,8.1,90.9
02/01/2022 02:00,959,7.9,92.1
02/01/2022 02:30,959,7.8,91.6
02/01/2022 03:00,958,7.9,90.1
02/01/2022 03:30,958,7.8,90.4
02/01/2022 04:00,958,7.6,91.6
02/01/2022 04:30,957,7.7,90.6
02/01/2022 05:00,957,7.5,91.7
02/01/2022 05:30,957,7.5,90.3
02/01/2022 06:00,956,8.1,84
02/01/2022 06:30,956,8.3,81.9
02/01/2022 07:00,956,7.9,84.1
02/01/2022 07:30,956,7.9,83.8
02/01/2022 08:00,955,7.7,85.1
02/01/2022 08:30,955,7.8,84
02/01/2022 09:00,954,7.4,86
02/01/2022 09:30,954,7.5,85.1
02/01/2022 10:00,954,7.7,84.1
02/01/2022 10:30,954,8.1,80.2
02/01/2022 11:00,954,8.7,75.2
02/01/2022 11:30,954,8.8,74.9
02/01/2022 12:00,954,8.7,77.5
02/01/2022 12:30,954,8.6,79.8
02/01/2022 13:00,954,8.8,81.3
02/01/2022 13:30,954,9.1,82.2
02/01/2022 14:00,953,9.6,80.8
02/01/2022 14:30,953,9.7,80.7
